"Date","Baidu","Google","360 Search","Yahoo!","bing","Other"
2008-07,0,96.46,0,2.16,0,1.38
2008-08,0,95.91,0,1.76,0,2.33
2008-09,0,97.58,0,1.4,0,1.02
2008-10,0,98.4,0,0.95,0,0.64
2008-11,0,98.09,0,1.22,0,0.69
2008-12,0,98.14,0,1.24,0,0.62
2009-01,0,97.65,0,1.56,0,0.79
2009-02,0,95.18,0,3.56,0,1.26
2009-03,42.13,54.86,0,1.58,0,1.43
2009-04,38,56.71,0,4.17,0,1.12
2009-05,51.93,37.38,0,9.69,0,1.01
2009-06,59.44,35.88,0,4.46,0.05,0.17
2009-07,67.78,30.48,0,1.38,0.2,0.17
2009-08,71.27,27.76,0,0.76,0.06,0.15
2009-09,65.34,33.34,0,0.99,0.11,0.22
2009-10,63.07,35.63,0,1,0.09,0.21
2009-11,56.98,41.55,0,1.1,0.12,0.25
2009-12,55.59,42.85,0,1.09,0.09,0.38
2010-01,56.46,41.69,0,1.13,0.2,0.52
2010-02,57.18,41.08,0,1.35,0.11,0.27
2010-03,55.79,42.15,0,1.64,0.1,0.31
2010-04,60.75,37.46,0,1.38,0.1,0.31
2010-05,60.81,37.44,0,1.32,0.09,0.34
2010-06,64.78,33.37,0,1.4,0.08,0.36
2010-07,62.04,36.1,0,1.37,0.08,0.41
2010-08,60.74,37.39,0,1.38,0.09,0.4
2010-09,59.15,38.85,0,1.51,0.09,0.4
2010-10,58.5,39.38,0,1.61,0.11,0.4
2010-11,64.23,33.81,0,1.48,0.1,0.37
2010-12,64.3,33.42,0,1.65,0.16,0.46
2011-01,67.91,30.07,0,1.4,0.24,0.39
2011-02,67.98,28.93,0,1.35,1.34,0.41
2011-03,64.9,31.93,0,1.47,1.31,0.39
2011-04,73.78,23.83,0,1.08,1.03,0.28
2011-05,68.13,29.1,0,1.28,1.12,0.37
2011-06,66.42,30.23,0,1.52,1.41,0.43
2011-07,64.22,31.57,0,1.87,1.83,0.5
2011-08,62.41,33.1,0,1.96,1.95,0.58
2011-09,61.81,32.72,0,2.48,2.35,0.63
2011-10,61.68,32.37,0,2.6,2.6,0.74
2011-11,60.67,34.21,0,2.18,2.4,0.54
2011-12,60.65,34.93,0,1.87,1.88,0.67
2012-01,64.7,30.7,0,2.16,1.7,0.75
2012-02,61.57,33.62,0,2.45,1.85,0.51
2012-03,58.66,36.21,0,2.3,2.18,0.65
2012-04,59.7,35.6,0,2.11,1.98,0.6
2012-05,53.82,41.18,0,2.22,2.17,0.6
2012-06,56.31,38.97,0,2.02,2.06,0.64
2012-07,70.07,26.52,0,1.43,1.57,0.4
2012-08,73.13,23.24,0,1.58,1.71,0.33
2012-09,69.97,21.94,3.95,2.27,1.55,0.33
2012-10,68.99,18.73,8.04,2.5,1.5,0.24
2012-11,69.44,17.26,7.76,3.17,2.14,0.24
2012-12,70.97,14.36,11.23,1.38,1.84,0.23
2013-01,69.87,13.36,13.11,1.5,1.94,0.21
2013-02,68.9,10.7,17.2,1.39,1.66,0.16
2013-03,66.88,9.94,19.82,1.72,1.48,0.17
2013-04,66.55,10.29,20.53,1.01,1.22,0.41
