"Date","Google","bing","Yahoo!","Voila","Ask Jeeves","Other"
2008-07,94.46,0,2.32,0.33,0.01,2.87
2008-08,94.58,0,2.48,0.32,0.17,2.45
2008-09,94.72,0,2.41,0.27,0.17,2.43
2008-10,94.62,0,2.4,0.3,0.16,2.52
2008-11,95.21,0,2.24,0.17,0.18,2.2
2008-12,96.03,0,2.02,0.1,0.15,1.7
2009-01,95,0,2.3,0.18,0.21,2.32
2009-02,94.38,0,2.41,0.38,0.19,2.64
2009-03,94.59,0,2.25,0.4,0.19,2.57
2009-04,95.4,0,1.84,0.54,0.18,2.03
2009-05,95.43,0,1.85,0.46,0.31,1.95
2009-06,95.71,1.66,1.88,0.35,0.25,0.16
2009-07,95.67,1.65,1.79,0.35,0.33,0.22
2009-08,95.45,1.78,1.76,0.4,0.38,0.24
2009-09,95.41,1.85,1.88,0.38,0.25,0.23
2009-10,95.56,1.95,1.65,0.38,0.25,0.21
2009-11,95.69,1.92,1.56,0.4,0.23,0.2
2009-12,95.84,1.91,1.44,0.38,0.24,0.18
2010-01,95.58,1.89,1.51,0.51,0.29,0.22
2010-02,95.42,1.93,1.61,0.55,0.26,0.23
2010-03,95.45,1.93,1.64,0.51,0.25,0.22
2010-04,95.7,1.86,1.58,0.46,0.2,0.2
2010-05,95.73,1.89,1.53,0.45,0.2,0.19
2010-06,95.62,1.98,1.56,0.43,0.21,0.19
2010-07,95.59,2.15,1.34,0.47,0.25,0.2
2010-08,95.59,2.19,1.26,0.47,0.3,0.19
2010-09,95.76,2.11,1.27,0.4,0.28,0.18
2010-10,95.8,2.2,1.18,0.37,0.3,0.15
2010-11,95.55,2.26,1.36,0.38,0.33,0.13
2010-12,95.38,2.43,1.36,0.37,0.33,0.13
2011-01,94.93,2.97,1.33,0.36,0.29,0.12
2011-02,94.73,3.17,1.29,0.38,0.26,0.18
2011-03,95.12,2.89,1.21,0.36,0.24,0.17
2011-04,95.05,2.97,1.18,0.35,0.27,0.18
2011-05,95,2.95,1.19,0.35,0.3,0.22
2011-06,95.87,2.06,1.23,0.37,0.25,0.22
2011-07,94.76,3.01,1.28,0.4,0.32,0.24
2011-08,94.64,3.08,1.31,0.41,0.34,0.22
2011-09,94.47,3.34,1.31,0.4,0.27,0.21
2011-10,94.67,3.15,1.28,0.42,0.3,0.19
2011-11,94.77,3.08,1.25,0.45,0.28,0.17
2011-12,94.54,3.22,1.25,0.51,0.31,0.16
2012-01,94.48,3.31,1.24,0.52,0.3,0.15
2012-02,95.03,3,1.13,0.45,0.25,0.14
2012-03,95.43,2.75,1.08,0.39,0.2,0.14
2012-04,95.33,2.78,1.08,0.42,0.22,0.16
2012-05,95.53,2.65,1.05,0.4,0.22,0.16
2012-06,94.03,2.68,1.07,0.42,0.21,1.6
2012-07,92.67,2.67,1.05,0.45,0.23,2.92
2012-08,92.47,2.66,1.07,0.48,0.22,3.11
2012-09,92.68,2.49,1.03,0.45,0.21,3.14
2012-10,92.72,2.45,0.98,0.44,0.21,3.2
2012-11,92.72,2.39,0.95,0.42,0.26,3.26
2012-12,92.76,2.47,0.95,0.42,0.55,2.86
2013-01,93.11,2.47,0.9,0.38,0.55,2.6
2013-02,93.65,2.6,0.9,0.09,0.51,2.24
2013-03,94.87,2.27,0.9,0,0.16,1.79
2013-04,95.23,2.1,0.93,0,0.11,1.62
