"Date","Google","Yahoo!","bing","AOL","Ask Jeeves","Other"
2008-07,79.29,12.88,0,1.86,0.12,5.85
2008-08,79.59,12.62,0,0.85,1.04,5.9
2008-09,79.36,12.57,0,0.78,0.96,6.33
2008-10,80.14,12.34,0,0.79,0.93,5.8
2008-11,81.14,12.17,0,1.07,0.88,4.75
2008-12,79.63,13.2,0,1.32,0.83,5.02
2009-01,78.68,13.59,0,1.48,0.95,5.29
2009-02,76.58,13,0,1.42,0.9,8.1
2009-03,76.49,13.27,0,1.6,0.95,7.69
2009-04,79.07,11.27,0,1.32,0.81,7.52
2009-05,78.72,10.99,0,1.36,0.8,8.14
2009-06,78.48,11.04,8.17,1.29,0.62,0.39
2009-07,77.54,10.95,9.41,1.22,0.54,0.33
2009-08,77.83,10.5,9.64,1.18,0.55,0.29
2009-09,80.08,9.4,8.51,1.13,0.61,0.28
2009-10,80.39,8.91,8.86,0.99,0.6,0.25
2009-11,82.28,8.5,7.37,0.96,0.65,0.24
2009-12,81.53,8.28,8.47,0.87,0.61,0.23
2010-01,80.45,8.94,8.73,0.91,0.72,0.25
2010-02,80.53,8.88,8.68,0.91,0.76,0.25
2010-03,80.7,9.03,8.42,0.87,0.74,0.24
2010-04,80.17,9.44,8.54,0.9,0.72,0.24
2010-05,79.96,9.6,8.48,0.98,0.73,0.24
2010-06,79.07,9.81,9.09,1.04,0.75,0.24
2010-07,81.09,8.4,8.52,0.96,0.79,0.24
2010-08,82.03,8.25,7.84,0.89,0.74,0.23
2010-09,82.35,8.06,7.86,0.8,0.7,0.22
2010-10,82.03,8.29,8.02,0.77,0.71,0.18
2010-11,81.31,9.21,7.87,0.75,0.68,0.17
2010-12,80.85,9.62,7.99,0.71,0.66,0.17
2011-01,80.2,9.48,8.83,0.69,0.65,0.16
2011-02,79.63,9.74,9.03,0.69,0.65,0.26
2011-03,79.62,10.02,8.79,0.66,0.66,0.26
2011-04,80.35,9.49,8.58,0.67,0.66,0.25
2011-05,80.63,9.02,8.47,0.84,0.69,0.35
2011-06,80.02,9.22,8.72,0.88,0.71,0.45
2011-07,79.68,9.56,8.65,0.89,0.74,0.47
2011-08,79.2,9.87,8.9,0.87,0.7,0.45
2011-09,79.31,9.79,9,0.83,0.67,0.41
2011-10,79.33,9.77,9.08,0.82,0.67,0.34
2011-11,79.26,9.42,9.57,0.8,0.66,0.29
2011-12,79.1,9.39,9.78,0.83,0.69,0.22
2012-01,79.02,9.43,9.88,0.82,0.69,0.16
2012-02,79.89,9.1,9.45,0.75,0.68,0.14
2012-03,80.06,9.04,9.3,0.75,0.71,0.15
2012-04,79.17,9.3,9.96,0.73,0.69,0.16
2012-05,79.52,9.29,9.65,0.7,0.67,0.18
2012-06,79.73,8.73,9.75,0.73,0.7,0.35
2012-07,80.28,8.22,9.5,0.76,0.76,0.48
2012-08,80.19,8.21,9.54,0.8,0.74,0.52
2012-09,80.5,7.98,9.3,0.85,0.73,0.64
2012-10,79.87,8.16,10.09,0.81,0.57,0.49
2012-11,80.12,8.1,10,0.8,0.5,0.49
2012-12,79.81,8.46,9.74,0.87,0.62,0.5
2013-01,80.58,8.55,8.87,0.9,0.66,0.45
2013-02,78.52,9.4,10.02,0.97,0.64,0.46
2013-03,78.23,9.55,10.51,0.91,0.39,0.42
2013-04,78.5,9.01,10.77,0.94,0.37,0.41
